userName,score,at,content
Radi Eman,5,2025-12-05 11:58:47,"pokoke planggan kaya saya dengan adany aplikasi ini sangat senang dn mmbantu sekali karna mau hujan mau panas siang atau mlm aplikasi ini sangat berguna, khususny dlm hal kelistrikan"
Riki Maenaki,5,2025-12-05 11:57:50,Aplikasinya sangat membantu.pelayanan cepat. Terima kasih bantuannya
Udon Spike,5,2025-12-05 11:57:13,"Dengan adanya Aplikasi PLN Mobile Sangat membantu bgi saya dan keluarga saya, laporan gangguan,proses pasang baru dan pembayaran tagihan listrik.Trimakasih PLN Mobile"
Nurul Huda,5,2025-12-05 11:52:21,proses pelayanan lebih respect...mantap..plng tambah jaya
Degzara Cantik,5,2025-12-05 11:51:42,cepat dan murah
Anis “Fauzan” salamah,5,2025-12-05 11:51:34,sejauh ini masih bagus
Siregar Taupiq,5,2025-12-05 11:44:32,penangan gangguan seperti ketika MCB di dekat meteran terbakar sangat mudah munggukan aplikasinya dan cepat respon
Bata Merah,1,2025-12-05 11:37:36,aplikasi bermanfaat. tapi entah mana yg salah. setiap hari padam dan respon petugas jawabannya membingungkan. contoh saya tinggal di kota A. tapi alasan padam dari kota B. dan petugas dr kota A tidak ada akses ke kota B. sedangkan laporan di larikan ke kota B
Shinehell Screenprinting,5,2025-12-05 11:36:57,"pelayanan mantap, fast respon"
Syahrizal Djawa,5,2025-12-05 11:34:30,"PLN Mobile banyak manfaat dan cocok buat semua kalangan, mudah dan aman untuk bertransaksi"
Ani Anisar,5,2025-12-05 11:34:15,sangat membantu
Risna Apriliani,5,2025-12-05 11:27:38,"aplikasi ini sangat membantu dalam mengurus kebutuhan listrik, tanpa harus datang ke kantor PLN. semua urusan listrik jadi lebih cepat dan praktis terimakasih pln mobile!"
Ainul Mardiah,5,2025-12-05 11:27:20,"Aplikasi PLN mobile ini salah satunya membantu saya untuk membeli token listrik prabayar, pernah mengajukan aduan mati listrik di kompleks krn pohon tumbang dan langsung ditindak lanjuti, aplikasi bagus."
perdi pernanda,5,2025-12-05 11:24:58,aplikasi membantu dan memudahkan untuk permohonan balik nama secara online
Rika Damayanti Rika Damayanti,5,2025-12-05 11:13:02,Dengan adanya fitur perubahan daya saya sudah sangat mudah untuk menambah daya listrik di rumah saya
fitria agustina,5,2025-12-05 11:02:37,pelayanan sangat baik aplikasi ini sangat cepat respon terimakasih pln ulp rajapolah
Ketut Rai,5,2025-12-05 11:01:34,aplikasi mudah digunakan
Ketut Sumerta,5,2025-12-05 10:57:50,aplikasinya sangat praktis
baihaqi muhammad,5,2025-12-05 10:57:38,pln mobile sangat membantu
Rega Candra,5,2025-12-05 10:54:38,PLN mobile mantep
Hardi Markoto,5,2025-12-05 10:50:44,lebih mudah dan cepat
GGT Crew,5,2025-12-05 10:49:19,saya sangat puas dengan layanan pln mobile dan dapat di atasi secra cepat
Indah Sukmawati,5,2025-12-05 10:47:52,"aplikasi ini sangat membantu dalam masalah kelistrikan pelayanan cepat,, dan mudah di gunakan"
Kang Sarjio,5,2025-12-05 10:44:54,semakin mudah dan lancar aplikasinya semakin cepat layanannya semakin puas jg ulasan aplikasinya 😁
hantu laut,5,2025-12-05 10:41:54,pertahankan terus yg terbaik..semoga titiik2 spklu ditmbah diberbagai lokasi
Arman,5,2025-12-05 10:41:18,memberikan informasi yang jelas dan dapat di mengerti oleh pelanggan
Budyarto 71,5,2025-12-05 10:30:24,apk yg sgt banyak membantu masyarakat utk segala komplain ttg listrik. mudah digunakan dn user friendly. tq PLN mobile!!
Ari Supriatna,5,2025-12-05 10:29:20,pengerjaan anggota rajapolah.. pelayanan sangat baik petugas ramah..ulp rajapolah mantap
fendy kids,5,2025-12-05 10:29:20,"aplikasi simple, mudah digunakan, PLN dalam genggaman, terimakasih pln lapor gangguan jadi lebih mudah."
Lusilawati Lawati,5,2025-12-05 10:27:29,"bayar listrik makin mudah stelah ada PLN Mobil lebih,, trimakasih PLN atas pasilitasnya"
Windi Nugraha,5,2025-12-05 10:26:43,Fitur aplikasinya bertambah banyak dan ini dapat mempermudah pelanggan untuk bertransaksi di pln mobile.
Riyan Putra,5,2025-12-05 10:26:07,PLN mobile sangat membantu untuk kebutuhan membayar tagihan listrik.semoga sukses selalu PLN mobile
iksan dekil,5,2025-12-05 10:23:23,ok
Kadek puspita,5,2025-12-05 10:23:06,"PLN Mobile menyediakan berbagai fitur yang lengkap, mulai dari pembelian token, pembayaran tagihan, hingga informasi mengenai SPKLU"
Dio Aryann,5,2025-12-05 10:22:57,"keren banget ,gwendeng gwendeng gwendeng"
Citra rahayu putri Citra,5,2025-12-05 10:22:39,aplikasi keren
dita sari,5,2025-12-05 10:20:58,tetap pakai pln mobile kalo transaksi beli pulsa..
VJ Rah,5,2025-12-05 10:18:43,"aplikasi pln mobile sangat bagus, dapat digunakan 24 jam dan banyak fitur yg sangat membantu baik dari pelaporan gangguan maupun tagihan listrik 👍..."
Ariantara Putra,5,2025-12-05 10:18:12,termudah
Frans Tito Ambata,5,2025-12-05 10:16:50,ngebantu banget min makasih😭🙏
NB Nurjayanti,4,2025-12-05 10:14:07,kadang tidak update informasi dari aplikasinya
Kie Fatrian,5,2025-12-05 10:11:31,sangat memudahkan untuk beli token dan bayar tagihan listrik
Ubay Dillah,2,2025-12-05 10:10:10,apknya gajelas mau pengaduan lewat pindai dari google map trus pas ngisi prov dll ga bisa
Juli Narti,5,2025-12-05 10:06:39,pelayanan pln mobile mantap dan cepat
Anjar Lestari Yuliani,5,2025-12-05 10:00:33,keren bisa top up token
Icaliana Mbu,5,2025-12-05 10:00:24,Buat pengaduan listrik jadi lebih muda dengan aplikasi PLN mobile
M.EFFENDI P HRP,5,2025-12-05 09:59:31,isi pulsa disini biaya admnya kecil dan dapat point juga bagus sekali
Nuha Aee,5,2025-12-05 09:57:56,pln sesuai kinerja.
akhyar Maulana,5,2025-12-05 09:50:22,"aplikasi PLN mobile sangat mudah digunakan, bisa untuk pembelian token dan tagihan listrik"
Agustian Maulana,5,2025-12-05 09:48:42,pelayanan cepat dan mudah
Anwar,5,2025-12-05 09:45:54,Sangat membantu memudahkan. dan pelayanan sangat ramah sekali
AHMAD ISMAIL,5,2025-12-05 09:45:11,oke
Rian Dzikriansyah,5,2025-12-05 09:44:20,Pln Mobile terbaik
Jilder Fina,5,2025-12-05 09:43:24,aplikasi PLN mobile sangat mudah di gunakan dan pelayanan nya mudah dan cepat
Erwin Aldino,5,2025-12-05 09:41:08,sangat membantu
Achmad Daviq,5,2025-12-05 09:40:05,"aplikasi pln mobile mempermudah transaksi, bisa pembelian token dengan mudah"
Manja Danova Putri,5,2025-12-05 09:39:15,aplikasi PLN Mobile sangat membantu sekali untuk membuat laporan gangguan dan pemadaman listrik dan pembayaran listrik bulanan
Eka Putrabimantara,5,2025-12-05 09:38:51,"aplikasi PLN mobile,adalah aplikasi serba guna,bisa unt mbantu dlm semua keluahan tentang listrik,dan jg ada bonus2 seperti discon naik daya dsb nya,terima kasih buat aplikasi ini,semoga semakin berjaya..👍"
Iz Andar,5,2025-12-05 09:36:44,terima kasih
Nurahmad Suparmanto,5,2025-12-05 09:36:05,terima kasih pelayanan cepat
Ujang Suryana,5,2025-12-05 09:35:09,"Dengan adanya aplikasi pln mobile saya sangat senang, karena banyak fitur bisa tambah daya bisa pasangbaru bisa meli token pulsa,, terimakasih pln indonesia sudah membuat aplikasi pln mobile ini"
Budi Budisuryanto,5,2025-12-05 09:33:35,aplikasi yang sangat membantu kami dalam melpor ganguan listrik
Lyla,5,2025-12-05 09:33:28,sangat membantu
Muhamad Zikrulloh,5,2025-12-05 09:33:13,aplikasi yg sangat berguna utk penguna kendaraan.listrik
Heru,5,2025-12-05 09:32:46,Banyak Pilihan menu disini. PLN Jaya PLN Mantap Ser Ser.
Mayendri Saputra,5,2025-12-05 09:32:24,Pln mobile sangat membantu saya dalam mengisi token dirumah
Maldi Saputra,5,2025-12-05 09:32:20,aplikasi ini sangat membantu saya dalam penyambungan baru kwh meter👍
Arief Kurniawan,5,2025-12-05 09:31:47,alhamdulillah jd mudah tuk pengaduan
Riski sanjaya,5,2025-12-05 09:31:29,"sekarang kalau ada gangguan listrik, tidak perlu repot repot ke PLN lagi. tinggal buat pengaduan di pln mobile lebih cepat ditanggapi"
Tulus Sitompul,5,2025-12-05 09:29:35,Pln terbaik sangat membantu dalam pelayanan ke listrikan
inggrit haumeni,5,2025-12-05 09:28:23,apk pln mobile sangat bermanfaat bagi pel listrik
Huda Nurul,5,2025-12-05 09:27:01,jos
Yusdedi Irawan,5,2025-12-05 09:26:27,mantap
yoga pratama,5,2025-12-05 09:24:58,mantap pelayanan cepat dan makin mudah dengan ada aplikasi mobile
solih,5,2025-12-05 09:24:51,bayar listrik diaplikadi ini murah baget dan cepat
Dian asri,5,2025-12-05 09:24:33,"Aplikasi pln mobile sangat bagus dan mempermudah dalam pembelian token, pengaduan, dan download detail tagihan listrik. Apalagi kemaren info terkait promo sangat update, jdi bisa tau lebih cepat dan melakukan proses tambah daya saat promo berlangsung."
Sastro,5,2025-12-05 09:24:20,"Aplikasi ini sangat membantu , beli token mudah dan biaya administrasi murah 👍terimakasih PLN🙏,"
Siti Nurhayati,5,2025-12-05 09:21:43,aplikasi sangat memudahkan pelanggan listrik PLN..
Yulens Ully,5,2025-12-05 09:21:10,"Gampang dan Cepat dalam melakukan transaksi dan pengaduan,Menggunakan APLIKASI PLN MOBILE."
Ian Ully,5,2025-12-05 09:19:50,semua makin Muda PLN keren
IDA AYU,5,2025-12-05 09:19:26,PLN semakin Jaya dan anti padam padam🥰
Rosmala Indah,5,2025-12-05 09:17:20,mempermudah kami dalam pelayanan pln
Muhtar Jamal,5,2025-12-05 09:17:01,Aplikasinya sangatlah membantu untuk tau besaran tagihan lewat catat meter mandiri (swacam).
GABI SATU,5,2025-12-05 09:15:12,Terimakasih PLN dengan adanya aplikasi ini bisa mempermudah tambah daya dan tau besaran biayanya.
Choirul Anwar,5,2025-12-05 09:14:13,terima kasih pelayanan sangat baik
Syavina Azhaat,5,2025-12-05 09:11:07,"haduuh gmna siih,saya beli token 50rb saldo terpotong tapi transaksi gagal,tolong di tingkatkan lagi dong!!!!!!!!!!!!!!"
Akhfi Mahardhika,5,2025-12-05 09:09:55,pln mobile sangat membantu
Annas Cahya,5,2025-12-05 09:09:22,aplikasi yang sangat baik
Icaa,5,2025-12-05 09:08:48,bagus aplikasinya sangat membantu
Ilman Yustika,5,2025-12-05 09:06:22,Dg adanya pln mobile memudahkan saya untuk membeli token
Rosmawati 1999,5,2025-12-05 09:06:19,aplikasi PLN mobile solusi jitu untuk kelistrikan pelanggan pln
Cewang Ce,5,2025-12-05 09:04:28,Sangat Bermanfaat
Edison Sarumpaet,5,2025-12-05 09:03:30,"Aplikasi ini sangat mudah diakses, serta aplikasi ini juga sangat membantu dalam pembelian token"
Andrian,5,2025-12-05 09:03:16,fitur PLN mobile makin mantaab... dan petugasnya ramah dan sigap.🥰🥰🥰🥰😍😍Good job
Fransisko Soba,5,2025-12-05 09:02:53,"aplikasi ini, pelayanan kelistrikan kepada masyarakat sangat bagus dan cepat"
samsul jumali,5,2025-12-05 09:00:51,PLN MANTAP
SEBRIYAN,5,2025-12-05 09:00:01,"PLN Mobile memberikan semua kemudahan layanan PLN dalam genggaman. ""PLN Mobile sangat praktis dan efisien"
Una,5,2025-12-05 08:57:29,apknya okk
Rian Rian,5,2025-12-05 08:57:14,"PLN mobile mudah digunakan. beli token bisa lewat aplikasi, laporan gangguan cukup dr aplikasi gak perlu datang kekantor pln Rayon. pelayanan cepat dan mudah."
Ahmad Wahyudi,5,2025-12-05 08:55:05,aplikasi nya sangat membantu untuk pembayaran dan pengaduan cpet direspon mantaplah pokoknya
ninja dua,5,2025-12-05 08:54:56,mantap jiwa
Doni dea,5,2025-12-05 08:53:01,bagus nih bnyak menu pilihan
Umi Masanti,5,2025-12-05 08:47:37,terima kasih
Muhammad Rafaalimansah,5,2025-12-05 08:47:20,APLIKASI NYA SANGT MUDA DAN PELAYANAN NYA SANGAT BAIK DAN SANGAT CEPAT
