userName,score,at,content
ade oenye,5,2025-12-06 09:32:25,setiap laporan segera ditinjak lanjuti dengan pelayanan yang baik..
Siti Istikanah,5,2025-12-06 09:29:02,PLN Mobile memudahkna
Elizabet Budikasi,5,2025-12-06 09:26:07,Wow aplikasi yang sangat membantu 👍👍👍👍👍
Syaqila Armayama,5,2025-12-06 09:25:43,sangat membantu dalam proses pembelian dan pemvayaran tagihan listrik
Bambang Permadhie,5,2025-12-06 09:21:26,pelayanan mantap
Agus Subiyanto,5,2025-12-06 09:20:28,APLIKASI PLN MOBILE SANGAT EFISIEN DAN CEPAT SEKALI MEMBANTU SAYA DAN MASYARAKAT MENGENAI HAL KELISTRIKAN DAN PEMBAYARAN DI APLIKASINYA.
seryus dhafon,5,2025-12-06 09:19:25,pelayanan ULP teluk dalam sangat buruk dan memprihatinkan sekali warga dan menyisakan kami di area kec. matan dan pendesaan
Lery Moniaga,5,2025-12-06 09:17:22,👍🏾
Septiana Ningsih16,1,2025-12-06 09:10:30,"RESPON LAMA , LAPORAN TIDAK DI TINDAKLANJUTI"
Nurin Q,5,2025-12-06 09:10:13,"Dulu kalau kau cek tagihan atau beli token harus keluar rumah, sekarang semua bisa dari PLN Mobile. sangat praktis, cepat, dan mudah digunakan. pengaduan juga ditangani dengan baik. Saya merasa terbantu sekali, aplikasi ini benar-benar solusi untuk pelanggan PLN.mantapp"
Almahyra Laviska,5,2025-12-06 09:08:48,mantap sekali
Simon Manek,5,2025-12-06 09:08:37,laynan dari pln sangat baik mudah dan cepat pln terbaik
Ellohayon Wolo,5,2025-12-06 09:06:40,aplikasi yang sangat membantu saya untuk melaporkan gangguan listirk
Sukmawati Karpelang,5,2025-12-06 09:02:50,sangat membantu kami pelanggan listrik
Roslina,5,2025-12-06 09:01:14,mempermudah transaksi
Adrianus Mau,5,2025-12-06 09:00:17,terima kasih pln mobile dengn aplikasi ini sangat membantu kami
jun arab,5,2025-12-06 08:59:45,"cepat respon, terimakasih sudah banyak membantu pelanggan🙏"
abdul yusron,5,2025-12-06 08:58:42,"dimana saja mudah tanpa ribet, untuk lapor keluhan mudah karena aplikasinya keren kali"
Heny Watiek,5,2025-12-06 08:55:05,"Aplikasinya sangat membantu untuk mengetahui info pasang baru,tambah daya,beli token listrik dan bayar listrik"
Eva Ruwaidah Mulyati,5,2025-12-06 08:49:33,"Aplikasi yang sangat membantu sekali, mudah digunakan dan dapat di akses di mana saja. Thanks PLN Mobileee"
nur alfillah,5,2025-12-06 08:48:48,pln sangat sigap membantu
Indradewi Sukri,5,2025-12-06 08:46:31,"Alhamdulillah aplikasi Pln mobile banyak membantu urusan listrik. Bisa cek dan bayar tagihan juga bisa cek simulasi biaya penambahan daya listrik. Untuk prabayar bisa isi token 5 ribuan. Kalau ada gangguan listrik tinggal klik dan lapor aja, gak perlu ribet keluar rumah atau ke kantornya. Tampilannya juga bagus banget gak terlalu mencolok. Pokoknya membantu banget buat urusan listrik sehari hari. 👍 untuk Pln mobile."
Rizky Ananda,5,2025-12-06 08:45:56,awesome!
Muhammad Azka,5,2025-12-06 08:45:23,bagus dan menarik membantu
DEDI SASMITA,5,2025-12-06 08:42:22,pelayanan bagus
Galih Ridho,5,2025-12-06 08:39:44,ok
Nadila Ajahh,5,2025-12-06 08:35:02,pemasangan baru mudah dan mudah untuk saya membeli pulsa 👍👍
Yayat Karung,5,2025-12-06 08:35:00,pln mobile mantap...👍👍👍
Dim 06,5,2025-12-06 08:34:48,"terima kasih untuk pln ulp rajapolah atas penanganan nya,sangat baik dan respon cepat... ulp rajapolah the best👍"
Yudo Sugara,5,2025-12-06 08:33:25,aplikasi PLN mobile fiturnya lengkap mudah digunakan sangat membantu
Adul Adul,5,2025-12-06 08:31:02,PLN mobile yes
Mas bro,5,2025-12-06 08:27:02,👍👍👍
Hendra Yuyu,5,2025-12-06 08:26:09,aplikasi sangat membantu respon pengaduan cepat
Shinsetsu Hikari,5,2025-12-06 08:25:29,good luck
Muhamad Ramdani123,5,2025-12-06 08:21:04,"terimakasih ulp rajapolah., terimakasih jabar caang., sehat dan semangat selalu buat para petugas penyambungan ulp rajapolah., alhamdulillah listrikku sudah menyala🙏"
rina27 yhulia,5,2025-12-06 08:20:03,"Layanan di PLN Mobile benar-benar mempermudah banyak hal. Notifikasi jelas, transaksi selalu lancar, dan fitur-fiturnya lengkap. Sangat memuaskan untuk dipakai harian"
kabul jogem,5,2025-12-06 08:19:20,Mempermudah pelayanan
Isnari Oktafia,5,2025-12-06 08:19:11,Aplikasi PLN mobile mudah digunakan sangat membantu saya👍🏻
Wiwin Winarni,5,2025-12-06 08:17:12,pln mobile sangat membantu dalam penangan gangguan
Papaanggieta Faridaathaya,5,2025-12-06 08:11:44,Dengan pln mobile lebih memudahkan untuk mengisi token dan lain2.👍🏻
Suriyadhy 094,5,2025-12-06 08:05:59,sangat bagus
Reza Syahputra,5,2025-12-06 08:05:49,Semoga ada promo menarik lagi untuk penukaran poin pln mobile nya 👍🏻
Sulistianto,5,2025-12-06 07:59:30,Pelayanan cepat
Vaikal baihaki,5,2025-12-06 07:57:41,PLN TERBAIK
Dhoni,1,2025-12-06 07:57:05,"pelayan lama, petugas kaga ada yg dateng. pengaduan malah di batalkan"
Hafizah Al-machzumi,5,2025-12-06 07:56:39,apk ini sangat membantu trimakasih
Zulfan Azhar Elfaraz,5,2025-12-06 07:55:21,aplikasi terbaik...pelayanan capat akurat
Aqifah Adz tanaaz,5,2025-12-06 07:55:11,pelayanan cepat ..
Juman Zayn,5,2025-12-06 07:54:56,mantap
Bari Akbar,5,2025-12-06 07:51:37,pelayanan terbaik untuk negeri
Halim WLC,5,2025-12-06 07:51:24,Aplikasi ini sangat membantu dan mudah di akses.
Muhamad Arip,5,2025-12-06 07:50:43,pln mobile sangat membantu dalam pembayaran tagihan listrij
ressa dwi,5,2025-12-06 07:49:07,good
Suwari Suwaji,5,2025-12-06 07:38:31,"terimakasih, aplikasi ini sangat membantu dan cukup mudah digunakan"
irma novalia,5,2025-12-06 07:36:49,pelayanan baik
Febrian Duiputra,5,2025-12-06 07:31:16,aplikasi pln mobile fitur nya lengkap mudah di gunakan sangat membantu
Rofiq Wahyuda Khoirulloh,5,2025-12-06 07:28:13,mantap sekali
Restu Yoga saputra,5,2025-12-06 07:26:13,keren aplikasinya
Muhadi Raisya,5,2025-12-06 07:25:05,pln mobael memang mudah di kompirmasi sama masyarakat
Mustaqim,5,2025-12-06 07:24:46,terimakasih atas pelayananya PLN
Muhammad Yasin Arafat,5,2025-12-06 07:22:55,kami sangat puas dgn aplikasi ini
irdanelly djamal,5,2025-12-06 07:20:00,terbaekkk
M ali zainal Abidin,5,2025-12-06 07:19:48,aplikasi bagus & bermanfaat
Nofan Bagus,5,2025-12-06 07:19:46,rekomendasi
rialigiaa kh,5,2025-12-06 07:19:06,sangat baik
Aan Fuad,5,2025-12-06 07:18:55,jos
Febri Arianto,5,2025-12-06 07:15:26,aplikasi prektis
Irfan Zidni AS,4,2025-12-06 07:12:44,saya sarankan pihak PLN menggunakan QRIS dalam pembayaran untuk memudahkan masyarakat.
Nida Hafia,5,2025-12-06 07:09:14,pln Indonesia ok
Dadanmuhamad Ramdan,5,2025-12-06 07:08:25,"terimakasih ulp rajapolah., juga kepada penyambungan rajapolah. , sehat selalu buat para petugasnya., terimakasih juga jabar caang. listrikku sudah menyala"
Sri Budi,5,2025-12-06 07:06:05,sangat membantu sekali
Abdul Rahman,5,2025-12-06 07:04:32,"aplikasi bagus pemasangan kilo meter jadi mudah, kinerja bagus👍👍👍"
Saing Decha,5,2025-12-06 07:03:20,Terdapat info diskon dan tarif listrik
Dwi Purwati,5,2025-12-06 07:02:09,Swacem 23-30 kalau bisa ok!!!!!!
sirie doank,5,2025-12-06 06:59:55,mantap banget 🙏🙏🙏
andi achmad,5,2025-12-06 06:58:18,"terbantu sekali dengan aplikasi ini,,smoga kedepanya bisa berkembang terus"
Ifatul Afifah,5,2025-12-06 06:48:25,mantap keren
Unaisah Nisah,5,2025-12-06 06:48:17,mantap
danil anggara,5,2025-12-06 06:47:31,Hemat daya batre.
Ikah Atikah,5,2025-12-06 06:45:37,"alhamdulillah dengan adanya aplikasi pln mobile ini sangat terbantu sekali bisa buat pengaduan, tambah daya dan juga pasang baru."
